trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.97946810000576,None,../fMRI_stim/music/Q2/MT0016743722.wav,Q2,15.688662800006568,None,15.670822249987395,None,[-0.09074074],[0.2574074],[1],[0],[0],[9.472568700031843],0.0060590499779209495,None,25.153250200033654,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
1,0,1,0,,,../fMRI_stim/music/Q3/MT0033345959.wav,Q3,27.43773639999563,None,27.419982149993302,None,[-0.23981482],[-0.25092593],[1],[0],[0],[9.724494800029788],0.00573915004497394,None,37.15464860002976,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
2,0,2,0,,,../fMRI_stim/music/Q4/MT0003022328.wav,Q3,39.38806140003726,None,39.37142500001937,None,[-0.05648148],[-0.21388888],[1],[0],[0],[10.022708700038493],0.005071099963970482,None,49.4049750000122,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
3,0,3,0,,,../fMRI_stim/music/Q2/MT0002602057.wav,Q2,51.638372600020375,None,51.62174169998616,None,[-0.19351852],[0.29074073],[1],[0],[0],[5.005485899979249],0.004764600016642362,None,56.638503700029105,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
4,0,4,0,,,../fMRI_stim/music/Q2/MT0034694413.wav,Q2,58.88857080001617,None,58.87193074999959,None,[-0.28703704],[0.25648147],[1],[0],[0],[3.70882449997589],0.007829249952919781,None,62.58871859998908,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
5,0,5,0,,,../fMRI_stim/music/Q2/MT0004027946.wav,Q3,64.82207039999776,None,64.8054223000072,76.80571650003549,[-0.06944445],[-0.053703703],[1],[0],[0],[15.911057899997104],0.009547299996484071,None,80.72249419998843,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
6,0,6,0,,,../fMRI_stim/music/Q1/MT0026753600.wav,Q1,82.95595979999052,None,82.93923100002576,94.93954950000625,[0.09166667],[0.06851852],[1],[0],[0],[12.42605690000346],0.007956800051033497,None,95.37293610000052,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
7,0,7,0,,,../fMRI_stim/music/Q3/MT0000523076.wav,Q3,97.60628519998863,None,97.58963370003039,None,[-0.2361111],[-0.29722223],[1],[0],[0],[6.703748999978416],0.0025628000148572028,None,104.30681080004433,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
8,0,8,0,,,../fMRI_stim/music/Q3/MT0014665667.wav,Q3,106.53986290004104,None,106.52319819998229,None,[-0.29074073],[-0.28703704],[1],[0],[0],[5.0241147999768145],0.006377100013196468,None,111.55666840000777,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
9,0,9,0,,,../fMRI_stim/music/Q4/MT0028709149.wav,Q3,113.79006269999081,None,113.77339889999712,125.77370349998819,[-0.05462963],[-0.05740741],[1],[0],[0],[19.37814340001205],0.009961800009477884,None,133.15724570001476,None,,,13_03,001,2023-04-04_15h03.52.492,musicemotionlatency,2022.1.3,60.001392028924535,
