trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,49.548241933996906,None,../fMRI_stim/music/Q2/MT0012168286.wav,Q1,52.14139253599569,None,52.08423029766806,None,[0.16285714285714287],[0.21619047619047618],[1],[0],[0],[2.8830080550105777],0.013373157664318569,None,54.97025125499931,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q3/MT0002485672.wav,Q4,57.42267053099931,None,57.409029983001524,None,[0.09142857142857143],[-0.10857142857142857],[1],[0],[0],[8.891464088999783],0.010778671014122665,None,66.30700253898976,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q2/MT0007659703.wav,Q1,68.80606144599733,None,68.79303601499123,None,[0.20761904761904762],[0.2361904761904762],[1],[0],[0],[3.061987361012143],0.01207519399758894,None,71.85940865200246,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q1/MT0008972801.wav,Q4,74.3796589019912,None,74.35932186266679,None,[0.21714285714285714],[-0.10952380952380952],[1],[0],[0],[6.125849767995533],0.005188301671296358,None,80.49721876200056,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q3/MT0006919273.wav,Q4,83.03736130100151,None,83.0181082613349,None,[0.24761904761904763],[-0.09428571428571429],[1],[0],[0],[7.47274766699411],0.005775837329565547,None,90.50135506199149,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q1/MT0008644609.wav,Q1,93.00372617300309,None,92.98182738633089,None,[0.07523809523809524],[0.15333333333333332],[1],[0],[0],[6.858333805008442],0.003713588332175277,None,99.85314897699573,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q2/MT0007812490.wav,Q1,102.36835751699982,None,102.35158194099495,None,[0.2619047619047619],[0.26285714285714284],[1],[0],[0],[7.195744409997133],0.009893549999105744,None,109.55502416400122,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q4/MT0011938737.wav,Q4,112.07437738399312,None,112.05946751966646,None,[0.23333333333333334],[-0.08571428571428572],[1],[0],[0],[7.137366615002975],0.011306693661026657,None,119.2048166859895,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0011574534.wav,Q1,121.72917279599642,None,121.71226224766384,None,[0.23809523809523808],[0.07809523809523809],[1],[0],[0],[7.6035923849995015],0.011849737667944282,None,129.32153769799334,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q2/MT0010310896.wav,Q1,131.90384075199836,None,131.87888298499166,None,[0.23238095238095238],[0.24952380952380954],[1],[0],[0],[4.597245416996884],0.006559800996910781,None,136.4855683969945,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q3/MT0006410285.wav,Q4,139.06221462399117,None,139.04909423766466,None,[0.2761904761904762],[-0.08476190476190476],[1],[0],[0],[5.444851972992183],0.013389949657721445,None,144.5015955419949,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q3/MT0009220462.wav,Q3,147.07122379798966,None,147.0600448076594,159.07657954499882,[-0.05142857142857143],[-0.058095238095238096],[1],[0],[0],[12.499235007009702],0.015841130662010983,None,159.56067978899227,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q4/MT0008167476.wav,Q4,162.10098706599092,None,162.08858495033252,None,[0.1676190476190476],[-0.07809523809523809],[1],[0],[0],[9.19909865000227],0.012865113327279687,None,171.29204533000302,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
13,0,13,0,,,../fMRI_stim/music/Q1/MT0008363839.wav,Q1,173.81540500899428,None,173.79894474665733,None,[0.24952380952380954],[0.09904761904761905],[1],[0],[0],[7.1196061769878725],0.008733475668122992,None,180.93051525199553,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
14,0,14,0,,,../fMRI_stim/music/Q4/MT0009289348.wav,Q4,183.56424801998946,None,183.5446109496678,None,[0.21523809523809523],[-0.06380952380952382],[1],[0],[0],[5.926306442997884],0.00856037568883039,None,189.48307316699356,None,,,18_03,001,2023_Oct_18_1830,musicemotionlatency,2021.2.3,None,
