onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.01	Noise
23.96	12.03	Baseline
35.98	11.5	Q3
47.97	11.5	Q3
59.97	11.5	Q3
71.96	11.99	Baseline
83.95	12.01	Noise
95.96	12.03	Baseline
107.98	11.51	Q1
119.97	11.51	Q1
131.97	11.51	Q1
143.97	11.99	Baseline
155.96	12.0	Noise
167.96	12.02	Baseline
179.97	11.5	Q4
191.97	11.5	Q4
203.97	11.51	Q4
215.97	11.99	Baseline
227.96	12.01	Noise
239.97	12.03	Baseline
251.99	11.5	Q2
263.98	11.5	Q2
275.98	11.52	Q2
288.01	12.0	Baseline
300.01	12.01	Noise
312.02	12.04	Baseline
324.06	11.51	Q4
336.01	11.51	Q4
348.03	11.51	Q4
360.04	11.96	Baseline
372.0	12.0	Noise
384.0	12.03	Baseline
396.03	11.51	Q2
408.05	11.51	Q2
420.03	11.51	Q2
432.02	11.98	Baseline
444.0	12.0	Noise
456.0	12.03	Baseline
468.03	11.51	Q1
480.01	11.51	Q1
492.02	11.51	Q1
504.05	11.95	Baseline
516.0	12.01	Noise
528.01	12.06	Baseline
540.07	11.51	Q3
552.03	11.5	Q3
564.03	11.5	Q3
576.1	24.01	Baseline
