onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.01	Noise
23.96	12.04	Baseline
36.01	35.97	Q1
71.98	11.98	Baseline
83.96	12.0	Noise
95.96	12.15	Baseline
108.11	35.87	Q3
143.98	11.98	Baseline
155.96	12.01	Noise
167.97	12.04	Baseline
180.01	35.97	Q4
215.98	11.98	Baseline
227.96	11.98	Noise
239.95	12.03	Baseline
251.98	36.03	Q2
288.01	11.99	Baseline
300.0	12.0	Noise
312.0	12.03	Baseline
324.03	36.0	Q4
360.03	11.97	Baseline
372.0	12.0	Noise
384.0	12.03	Baseline
396.04	36.0	Q1
432.04	11.97	Baseline
444.0	12.01	Noise
456.01	12.04	Baseline
468.06	35.99	Q2
504.04	11.97	Baseline
516.01	12.0	Noise
528.01	12.05	Baseline
540.06	36.06	Q3
576.12	24.01	Baseline
