onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.03	Baseline
35.98	35.97	Q3
71.95	12.0	Baseline
83.95	12.0	Noise
95.95	12.03	Baseline
107.98	35.97	Q2
143.96	11.99	Baseline
155.95	12.0	Noise
167.95	12.02	Baseline
179.97	35.99	Q4
215.96	11.99	Baseline
227.95	12.01	Noise
239.96	12.03	Baseline
251.99	36.0	Q1
287.99	12.0	Baseline
299.99	12.01	Noise
312.0	12.03	Baseline
324.02	35.98	Q3
360.01	11.99	Baseline
371.99	11.98	Noise
383.98	12.03	Baseline
396.01	35.99	Q2
432.0	11.98	Baseline
443.98	12.02	Noise
456.0	12.02	Baseline
468.01	35.99	Q4
504.0	11.98	Baseline
515.98	12.01	Noise
527.99	12.03	Baseline
540.02	36.05	Q1
576.07	24.0	Baseline
