onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.01	Noise
23.96	12.04	Baseline
36.0	11.51	Q3
47.98	11.51	Q3
59.98	11.51	Q3
71.96	11.99	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q2
119.98	11.52	Q2
131.98	11.5	Q2
143.96	11.99	Baseline
155.95	12.01	Noise
167.96	12.05	Baseline
180.0	11.5	Q1
191.97	11.51	Q1
203.95		Q1
215.97	11.99	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.0	11.5	Q4
263.99	11.51	Q4
275.99	11.51	Q4
288.0	11.99	Baseline
299.99	12.0	Noise
311.99	12.05	Baseline
324.04	11.51	Q3
336.02	11.5	Q3
348.02	11.5	Q3
360.01	11.98	Baseline
371.99	12.01	Noise
384.0	12.05	Baseline
396.04	11.5	Q2
408.03	11.5	Q2
420.03	11.5	Q2
432.02	11.98	Baseline
444.0	12.0	Noise
456.0	12.04	Baseline
468.03	11.51	Q1
480.01	11.51	Q1
492.02	11.51	Q1
504.03	11.97	Baseline
516.0	12.0	Noise
528.0	12.03	Baseline
540.03	11.5	Q4
552.03	11.5	Q4
564.03	11.51	Q4
576.1	24.0	Baseline
