onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.03	Baseline
35.98	11.51	Q2
47.97	11.52	Q2
59.98	11.51	Q2
71.96	11.99	Baseline
83.95	12.0	Noise
95.95	12.02	Baseline
107.97	11.5	Q4
119.97	11.51	Q4
131.97	11.51	Q4
143.97	11.99	Baseline
155.95	12.01	Noise
167.96	12.06	Baseline
180.02	11.51	Q1
191.97	11.51	Q1
203.99	11.5	Q1
215.97	11.99	Baseline
227.96	12.0	Noise
239.96	12.05	Baseline
252.01	11.5	Q3
263.97	11.51	Q3
275.97	11.5	Q3
287.99	11.99	Baseline
299.98	12.0	Noise
311.98	12.05	Baseline
324.03	11.51	Q4
336.01	11.51	Q4
348.01	11.5	Q4
360.0	11.98	Baseline
371.98	12.02	Noise
384.0	12.03	Baseline
396.03	11.51	Q3
408.0	11.5	Q3
420.0	11.5	Q3
432.0	11.98	Baseline
443.98	12.01	Noise
455.99	12.04	Baseline
468.03	11.51	Q1
480.02	11.5	Q1
492.0	11.5	Q1
504.01	11.98	Baseline
515.98	12.01	Noise
527.99	12.04	Baseline
540.03	11.51	Q2
552.0	11.51	Q2
564.0	11.53	Q2
576.07	24.01	Baseline
