onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.01	Noise
23.96	12.06	Baseline
36.02	11.5	Q3
48.01	11.51	Q1
60.01	11.51	Q3
71.96	12.0	Baseline
83.96	12.01	Noise
95.96	12.06	Baseline
108.02	11.51	Q3
120.01	11.5	Q3
132.01	11.51	Q4
143.97	11.99	Baseline
155.96	12.0	Noise
167.96	12.06	Baseline
180.03	11.51	Q1
191.99	11.51	Q1
203.96	11.51	Q1
215.95	11.99	Baseline
227.95	12.01	Noise
239.95	12.04	Baseline
252.0	11.51	Q2
264.0	11.51	Q2
276.0	11.5	Q1
287.98	12.0	Baseline
299.98	12.01	Noise
311.99	12.06	Baseline
324.05	11.5	Q3
336.03	11.51	Q4
348.02	11.51	Q4
359.98	11.99	Baseline
371.97	12.0	Noise
383.97	12.06	Baseline
396.04	11.5	Q1
408.02	11.5	Q1
419.99	11.51	Q4
431.99	11.99	Baseline
443.97	12.0	Noise
455.97	12.05	Baseline
468.02	11.51	Q2
480.02	11.51	Q2
492.02	11.51	Q2
504.0	11.98	Baseline
515.97	12.01	Noise
527.98	12.06	Baseline
540.04	11.5	Q1
552.02	11.51	Q4
564.03	11.51	Q4
576.06	24.0	Baseline
