onset	duration	trial_type	valence	arousal	music_quadrant	participant_quadrant
0.0	11.95	Baseline	0.0	0.0	NA	NA
11.95	12.0	Noise	0.0	0.0	NA	NA
23.95	12.05	Baseline	0.0	0.0	NA	NA
36.0	11.51	music	0.35	0.99	Q1	Q1
48.0	11.51	music	0.48	0.36	Q1	Q4
60.0	11.5	music	1.0	0.57	Q1	Q4
71.95	12.0	Baseline	0.0	0.0	NA	NA
83.95	12.0	Noise	0.0	0.0	NA	NA
95.95	12.05	Baseline	0.0	0.0	NA	NA
108.0	11.51	music	0.38	0.69	Q3	Q3
120.0	11.5	music	0.69	0.14	Q3	Q3
132.0	11.51	music	0.33	0.96	Q3	Q4
143.96	12.0	Baseline	0.0	0.0	NA	NA
155.95	12.0	Noise	0.0	0.0	NA	NA
167.95	12.06	Baseline	0.0	0.0	NA	NA
180.02	11.51	music	0.92	0.96	Q4	Q4
192.03	11.51	music	0.64	0.34	Q4	Q2
204.01	11.51	music	0.95	0.13	Q4	Q4
215.96	11.99	Baseline	0.0	0.0	NA	NA
227.96	12.0	Noise	0.0	0.0	NA	NA
239.96	12.06	Baseline	0.0	0.0	NA	NA
252.02	11.5	music	0.93	0.95	Q2	Q2
264.01	11.5	music	0.53	1.0	Q2	Q2
276.01	11.5	music	0.95	0.94	Q2	Q2
287.99	12.0	Baseline	0.0	0.0	NA	NA
299.99	11.98	Noise	0.0	0.0	NA	NA
311.98	12.05	Baseline	0.0	0.0	NA	NA
324.03	11.51	music	0.97	0.4	Q4	Q4
336.03	11.51	music	0.91	0.93	Q4	Q4
348.03	11.5	music	0.99	0.19	Q4	Q4
359.99	11.98	Baseline	0.0	0.0	NA	NA
371.98	12.01	Noise	0.0	0.0	NA	NA
383.99	12.07	Baseline	0.0	0.0	NA	NA
396.06	11.51	music	1.0	0.64	Q1	Q1
408.01	11.51	music	0.96	0.89	Q1	Q1
420.0	11.52	music	0.93	0.96	Q1	Q1
432.01	11.97	Baseline	0.0	0.0	NA	NA
443.98	12.01	Noise	0.0	0.0	NA	NA
455.99	12.06	Baseline	0.0	0.0	NA	NA
468.05	11.51	music	0.29	0.2	Q3	Q3
480.05	11.51	music	0.96	0.24	Q3	Q4
492.05	11.51	music	0.88	0.91	Q3	Q3
504.0	11.98	Baseline	0.0	0.0	NA	NA
515.98	12.01	Noise	0.0	0.0	NA	NA
527.99	12.06	Baseline	0.0	0.0	NA	NA
540.05	11.51	music	0.56	0.98	Q2	Q2
552.05	11.51	music	0.21	0.94	Q2	Q2
564.05	11.51	music	0.98	0.67	Q2	Q1
