onset	duration	trial_type	valence	arousal	music_quadrant	participant_quadrant
0.0	11.96	Baseline	0.0	0.0	NA	NA
11.96	11.98	Noise	0.0	0.0	NA	NA
23.95	12.05	Baseline	0.0	0.0	NA	NA
36.0	11.5	music	0.81	0.52	Q2	Q2
48.0	11.5	music	0.52	0.94	Q2	Q2
60.0	11.51	music	0.19	1.0	Q2	Q1
71.95	12.0	Baseline	0.0	0.0	NA	NA
83.95	12.01	Noise	0.0	0.0	NA	NA
95.95	12.06	Baseline	0.0	0.0	NA	NA
108.02	11.5	music	0.72	0.71	Q1	Q1
120.02	11.5	music	0.71	0.75	Q1	Q1
131.98	11.51	music	0.93	0.74	Q1	Q1
143.98	11.97	Baseline	0.0	0.0	NA	NA
155.95	12.0	Noise	0.0	0.0	NA	NA
167.96	12.08	Baseline	0.0	0.0	NA	NA
180.04	11.51	music	0.8	0.27	Q4	Q4
192.02	11.51	music	0.91	0.82	Q4	Q1
204.0	11.52	music	0.59	0.32	Q4	Q3
215.97	11.98	Baseline	0.0	0.0	NA	NA
227.95	12.01	Noise	0.0	0.0	NA	NA
239.96	12.1	Baseline	0.0	0.0	NA	NA
252.06	11.51	music	0.76	0.82	Q3	Q4
264.02	11.51	music	0.59	0.8	Q3	Q3
276.02	11.51	music	1.0	0.94	Q3	Q3
288.02	11.99	Baseline	0.0	0.0	NA	NA
300.01	12.01	Noise	0.0	0.0	NA	NA
312.02	12.06	Baseline	0.0	0.0	NA	NA
324.08	11.52	music	0.98	0.57	Q3	Q4
336.06	11.52	music	0.13	0.59	Q3	Q1
348.08	11.51	music	0.34	0.16	Q3	Q4
360.03	11.98	Baseline	0.0	0.0	NA	NA
372.01	12.01	Noise	0.0	0.0	NA	NA
384.02	12.03	Baseline	0.0	0.0	NA	NA
396.05	11.53	music	0.75	0.52	Q1	Q1
408.08	11.5	music	0.76	0.79	Q1	Q1
420.08	11.5	music	0.96	0.17	Q1	Q4
432.03	11.98	Baseline	0.0	0.0	NA	NA
444.01	12.01	Noise	0.0	0.0	NA	NA
456.02	12.08	Baseline	0.0	0.0	NA	NA
468.1	11.5	music	0.89	0.89	Q4	Q3
480.08	11.5	music	0.31	0.78	Q4	Q4
492.1	11.5	music	0.26	0.54	Q4	Q4
504.06	11.96	Baseline	0.0	0.0	NA	NA
516.01	12.01	Noise	0.0	0.0	NA	NA
528.02	12.08	Baseline	0.0	0.0	NA	NA
540.1	11.51	music	0.31	0.49	Q2	Q2
552.08	11.51	music	0.99	0.98	Q2	Q2
564.07	11.51	music	0.95	1.0	Q2	Q2
