onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.05	Baseline
36.0	11.51	Q1
47.99	11.51	Q1
59.97	11.51	Q1
71.98	11.98	Baseline
83.96	12.0	Noise
95.96	12.05	Baseline
108.01	11.5	Q2
119.97	11.5	Q2
131.99	11.53	Q1
143.98	11.97	Baseline
155.96	12.0	Noise
167.96	12.05	Baseline
180.01	11.5	Q4
191.99	11.51	Q4
203.99	11.52	Q1
215.99	11.95	Baseline
227.95	12.01	Noise
239.96	12.05	Baseline
252.01	11.52	Q4
263.98	11.51	Q3
275.99	11.51	Q1
288.02	12.0	Baseline
300.01	12.01	Noise
312.02	12.04	Baseline
324.06	11.51	Q3
336.08	11.5	Q1
348.05	11.5	Q1
360.06	11.96	Baseline
372.02	12.01	Noise
384.02	12.06	Baseline
396.08	11.51	Q1
408.05	11.51	Q2
420.05	11.51	Q2
432.07	11.95	Baseline
444.02	11.98	Noise
456.0	12.05	Baseline
468.05	11.51	Q1
480.05	11.51	Q1
492.04	11.5	Q1
504.05	11.95	Baseline
516.0	12.01	Noise
528.01	12.06	Baseline
540.07	11.5	Q3
552.04	11.5	Q1
564.06	11.51	Q4
576.13	24.01	Baseline
