onset	duration	trial_type
0.0	11.96	Baseline
11.96	12.01	Noise
23.97	12.02	Baseline
35.99	11.52	Q3
47.99	11.51	Q4
59.96	11.5	Q4
71.95	12.0	Baseline
83.95	12.0	Noise
95.95	12.05	Baseline
107.99	11.5	Q1
119.98	11.5	Q4
131.98	11.52	Q2
143.96	11.99	Baseline
155.95	12.0	Noise
167.95	12.05	Baseline
180.0	11.51	Q1
191.97	11.5	Q2
203.97	11.52	Q1
215.98	11.97	Baseline
227.95	12.0	Noise
239.95	12.03	Baseline
251.98	11.51	Q4
263.99	11.5	Q1
275.99	11.5	Q4
288.0	11.99	Baseline
299.99	12.02	Noise
312.0	12.04	Baseline
324.04	11.5	Q1
336.02	11.51	Q2
348.07	11.51	Q2
360.01	11.98	Baseline
371.99	12.0	Noise
383.99	12.05	Baseline
396.04	11.5	Q1
408.02	11.51	Q1
420.01	11.5	Q4
432.01	11.98	Baseline
443.99	12.01	Noise
456.0	12.06	Baseline
468.06	11.51	Q4
480.02	11.51	Q4
492.02	11.5	Q4
504.04	11.95	Baseline
515.99	12.0	Noise
527.99	12.05	Baseline
540.04	11.51	Q4
552.03	11.5	Q4
564.03	11.51	Q4
576.12	24.01	Baseline
