onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.03	Baseline
35.98	35.99	Q3
71.97	11.98	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	35.98	Q2
143.98	11.98	Baseline
155.95	12.01	Noise
167.96	12.04	Baseline
180.0	35.98	Q4
215.98	11.97	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.01	36.01	Q1
288.01	11.99	Baseline
300.01	12.0	Noise
312.01	12.06	Baseline
324.07	35.97	Q3
360.04	11.97	Baseline
372.01	12.01	Noise
384.02	12.06	Baseline
396.08	35.99	Q2
432.07	11.95	Baseline
444.01	12.01	Noise
456.02	12.06	Baseline
468.08	36.0	Q1
504.08	11.94	Baseline
516.02	12.0	Noise
528.02	12.06	Baseline
540.08	36.07	Q4
576.15	24.0	Baseline
