onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.02	Baseline
35.97	11.51	Q2
47.97	11.51	Q1
60.01	11.51	Q2
71.97	11.98	Baseline
83.96	12.0	Noise
95.96	12.07	Baseline
108.02	11.51	Q1
120.02	11.51	Q3
132.04	11.5	Q4
143.97	11.99	Baseline
155.96	12.01	Noise
167.97	12.08	Baseline
180.04	11.51	Q1
191.99	11.51	Q4
204.03	11.52	Q3
216.01	11.95	Baseline
227.96	12.0	Noise
239.97	12.05	Baseline
252.01	11.5	Q1
263.98	11.51	Q1
276.03	11.51	Q4
288.02	12.0	Baseline
300.01	12.0	Noise
312.02	12.08	Baseline
324.1	11.51	Q3
336.08	11.5	Q2
348.08	11.5	Q1
360.05	11.96	Baseline
372.02	12.0	Noise
384.02	12.05	Baseline
396.07	11.51	Q2
408.08	11.5	Q4
420.07	11.51	Q4
432.04	11.96	Baseline
444.0	12.01	Noise
456.02	12.07	Baseline
468.09	11.51	Q4
480.07	11.5	Q4
492.04	11.51	Q1
504.05	11.96	Baseline
516.01	12.01	Noise
528.01	12.06	Baseline
540.07	11.5	Q2
552.04	11.51	Q2
564.07	11.5	Q2
576.1	24.01	Baseline
