onset	duration	trial_type
0.0	11.96	Baseline
11.96	12.0	Noise
23.97	12.06	Baseline
36.03	35.92	Q2
71.95	12.0	Baseline
83.95	12.01	Noise
95.96	12.06	Baseline
108.02	35.94	Q3
143.96	11.99	Baseline
155.95	12.0	Noise
167.96	12.06	Baseline
180.02	35.94	Q1
215.96	11.99	Baseline
227.95	12.01	Noise
239.97	12.07	Baseline
252.04	35.95	Q4
287.99	12.0	Baseline
299.99	12.0	Noise
311.99	12.06	Baseline
324.06	35.93	Q2
359.99	11.99	Baseline
371.98	12.0	Noise
383.98	12.05	Baseline
396.03	35.97	Q4
432.0	11.98	Baseline
443.98	12.01	Noise
455.99	12.06	Baseline
468.05	35.95	Q3
504.0	11.98	Baseline
515.98	12.0	Noise
527.99	12.05	Baseline
540.03	36.03	Q1
576.07	24.0	Baseline
