onset	duration	trial_type
0.0	11.96	Baseline
11.96	11.99	Noise
23.94	12.03	Baseline
35.98	35.97	Q2
71.95	11.99	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	35.96	Q1
143.96	11.99	Baseline
155.95	12.01	Noise
167.96	12.04	Baseline
180.0	35.97	Q4
215.96	11.99	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.0	36.0	Q3
288.0	11.99	Baseline
299.99	12.0	Noise
311.99	12.02	Baseline
324.01	36.01	Q1
360.01	11.98	Baseline
371.99	12.0	Noise
384.0	12.05	Baseline
396.04	35.97	Q4
432.02	11.98	Baseline
443.99	12.0	Noise
456.0	12.05	Baseline
468.04	35.98	Q3
504.02	11.97	Baseline
516.0	12.0	Noise
528.0	12.03	Baseline
540.03	36.07	Q2
576.1	24.01	Baseline
