onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.03	Baseline
35.99	11.5	Q1
47.97	11.52	Q1
59.97	11.51	Q1
71.97	11.98	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q3
119.99	11.5	Q3
131.99	11.51	Q3
143.97	11.98	Baseline
155.96	12.01	Noise
167.96	12.05	Baseline
180.01	11.5	Q4
191.97	11.51	Q4
203.99	11.51	Q4
215.98	11.98	Baseline
227.96	12.0	Noise
239.96	12.03	Baseline
251.99	11.51	Q2
263.99	11.51	Q2
275.99	11.51	Q2
288.02	11.99	Baseline
300.01	12.0	Noise
312.02	12.05	Baseline
324.06	11.51	Q1
336.03	11.51	Q1
348.03	11.51	Q1
360.04	11.97	Baseline
372.01	12.01	Noise
384.02	12.04	Baseline
396.07	11.51	Q3
408.05	11.52	Q3
420.05	11.51	Q3
432.05	11.97	Baseline
444.02	12.0	Noise
456.02	12.03	Baseline
468.05	11.5	Q2
480.05	11.51	Q2
492.05	11.51	Q2
504.05	11.97	Baseline
516.02	12.0	Noise
528.02	12.05	Baseline
540.07	11.5	Q4
552.05	11.51	Q4
564.05	11.51	Q4
576.13	24.01	Baseline
