onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.02	Noise
23.97	12.04	Baseline
36.0	11.53	Q2
47.97	11.51	Q2
59.99	11.5	Q2
71.96	12.0	Baseline
83.96	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q4
119.97	11.51	Q4
131.99	11.5	Q4
143.97	11.99	Baseline
155.96	12.0	Noise
167.96	12.05	Baseline
180.01	11.5	Q3
191.99	11.5	Q3
203.97	11.51	Q3
215.97	11.99	Baseline
227.96	11.99	Noise
239.94	12.03	Baseline
251.98	11.51	Q1
263.98	11.51	Q1
275.98	11.51	Q1
287.99	11.99	Baseline
299.98	12.0	Noise
311.98	12.05	Baseline
324.03	11.51	Q2
336.03	11.51	Q2
348.01	11.51	Q2
360.03	11.95	Baseline
371.98	12.01	Noise
383.99	12.06	Baseline
396.05	11.5	Q4
408.02	11.5	Q4
420.02	11.51	Q4
432.03	11.95	Baseline
443.98	12.01	Noise
455.99	12.06	Baseline
468.05	11.5	Q3
480.02	11.5	Q3
492.04	11.51	Q3
504.04	11.95	Baseline
515.99	12.01	Noise
527.99	12.06	Baseline
540.05	11.51	Q1
552.02	11.51	Q1
564.02	11.51	Q1
576.09	24.01	Baseline
